0,5,8,6,1,5,1,7,8,1,0.9279
9,3,7,8,2,7,5,10,4,6,0.9986
8,10,5,10,2,9,3,5,5,8,0.9734
1,7,1,1,5,2,4,3,9,1,0.6052
4,3,3,8,10,8,4,9,2,4,0.8144
3,4,6,9,6,1,6,4,10,3,0.8719
6,6,9,5,8,1,9,9,4,2,0.8706
2,5,1,4,7,3,2,2,1,4,0.8165
9,8,3,7,5,5,6,6,9,7,0.9989
8,9,6,3,7,6,5,0,5,6,0.9696
7,4,4,7,3,7,7,2,6,5,0.9878
1,1,4,3,4,6,8,1,3,7,0.9906
5,7,5,1,0,9,1,1,3,9,1.0006
10,6,8,4,9,0,7,8,2,2,0.8808
2,1,2,5,1,2,3,8,7,8,1.0005
6,2,0,2,9,8,10,3,1,9,0.9406
4,8,10,9,8,4,8,6,7,10,0.9949
5,9,7,0,6,10,2,4,6,5,0.9714
7,0,9,2,4,3,9,7,0,0,0.8815
3,2,2,6,3,4,0,5,8,3,0.9913
0,8,0,4,8,0,10,0,10,0,0.5752999999999999
0,10,0,5,3,0,5,0,3,0,0.5282
6,10,0,10,7,1,0,10,0,0,0.6729
5,10,0,8,0,0,10,3,7,0,0.5670999999999999
0,8,0,1,3,7,6,9,2,0,0.5235000000000001
0,9,3,1,1,1,10,3,6,0,0.7441
10,10,0,10,10,0,6,10,0,0,0.6613
0,10,0,2,4,8,10,6,8,2,0.5395000000000001
4,2,0,3,10,9,8,1,1,0,0.6068
10,0,0,0,4,10,10,0,0,1,0.5257000000000001
0,10,0,1,10,10,8,4,7,3,0.5785
1,1,0,10,6,7,9,6,2,2,0.6584
4,7,0,1,0,0,7,1,8,1,0.4569
6,10,0,1,0,1,1,5,8,0,0.6819999999999999
5,3,10,6,8,1,0,1,6,10,0.9999
7,7,0,4,10,5,0,8,1,10,0.9952
5,8,0,1,0,9,9,5,5,4,0.9366
8,6,0,0,9,8,4,7,8,2,0.5944
3,3,10,7,10,4,1,3,10,0,0.8926000000000001
8,7,3,1,10,4,10,7,2,2,0.7344
3,4,10,8,10,8,10,5,7,6,0.915
1,0,0,9,0,9,9,4,5,1,0.689
4,8,0,2,5,2,9,2,8,1,0.5148999999999999
10,10,0,0,8,1,8,3,5,1,0.5438000000000001
10,9,0,0,9,3,0,5,0,0,0.5213000000000001
1,3,4,8,10,8,1,5,10,0,0.8108
8,1,0,1,1,0,7,9,7,0,0.4861
4,9,0,3,10,2,10,9,2,5,0.633
