0,5,8,6,1,5,1,7,8,1,0.8688
9,3,7,8,2,7,5,10,4,6,0.9989
8,10,5,10,2,9,3,5,5,8,0.969
1,7,1,1,5,2,4,3,9,1,0.5869
4,3,3,8,10,8,4,9,2,4,0.8014
3,4,6,9,6,1,6,4,10,3,0.8613
6,6,9,5,8,1,9,9,4,2,0.838
2,5,1,4,7,3,2,2,1,4,0.7854
9,8,3,7,5,5,6,6,9,7,0.9937
8,9,6,3,7,6,5,0,5,6,0.9687
7,4,4,7,3,7,7,2,6,5,0.9866
1,1,4,3,4,6,8,1,3,7,0.9896
5,7,5,1,0,9,1,1,3,9,1.0005
10,6,8,4,9,0,7,8,2,2,0.8739
2,1,2,5,1,2,3,8,7,8,0.9998
6,2,0,2,9,8,10,3,1,9,0.9406
4,8,10,9,8,4,8,6,7,10,0.9951
5,9,7,0,6,10,2,4,6,5,0.9702
7,0,9,2,4,3,9,7,0,0,0.8778
3,2,2,6,3,4,0,5,8,3,0.9924
8,5,0,9,2,9,10,1,6,0,0.6295999999999999
10,10,3,10,0,5,1,10,5,0,0.9765
2,10,2,7,10,2,6,3,3,0,0.7282
8,0,10,6,6,9,3,7,1,10,1.0003
7,2,7,3,10,2,3,0,8,2,0.862
10,6,0,7,10,9,9,8,3,0,0.6545000000000001
0,8,1,7,10,7,10,3,2,3,0.6956
1,10,2,8,10,5,4,2,10,10,0.9835
2,7,10,8,0,4,2,3,7,5,1.0005
10,2,9,0,7,2,10,8,3,6,0.9564
2,1,0,10,10,3,7,2,9,0,0.651
0,6,10,1,1,2,10,6,6,10,1.0002
8,5,0,8,2,8,10,2,6,10,0.9988
1,10,7,4,0,3,10,5,1,1,0.8271
4,6,9,0,5,10,8,1,9,0,0.9438
9,8,5,0,8,3,9,10,4,0,0.8002
4,2,7,4,10,6,8,9,4,10,0.9868
10,6,0,7,10,2,0,8,4,7,0.9878
10,8,0,9,2,9,4,5,7,0,0.6834
9,9,10,2,7,8,0,6,4,10,0.9992
1,0,0,6,2,1,0,1,9,10,0.9999
10,9,0,1,1,1,10,3,0,4,0.966
8,0,10,9,10,9,2,3,2,0,0.8938
10,3,10,3,10,3,2,3,3,6,0.9773000000000001
8,2,5,0,5,0,10,3,5,10,1.0
10,9,10,1,3,5,10,4,3,3,0.9358
8,9,10,3,0,9,9,1,0,0,0.8794
6,2,5,2,4,5,3,0,6,0,0.8149
